"","ID","Location","Tapping","Tree_num","C_pos.","Coordinates","Tree_ID","lat","lon"
"55297","DG-1-T-03-T-D1","DG-1","T",3,"T","12° 44.5740' N  36° 8.0868' E","DG-1-T-03-T",12.7429,36.13478
"55553","DG-1-T-03-M-D1","DG-1","T",3,"M","12° 44.5740' N  36° 8.0868' E","DG-1-T-03-M",12.7429,36.13478
"55809","DG-1-T-03-L-D1","DG-1","T",3,"L","12° 44.5740' N  36° 8.0868' E","DG-1-T-03-L",12.7429,36.13478
"56065","DG-1-T-06-T-D1","DG-1","T",6,"T","12° 44.5515' N  36° 8.0679' E","DG-1-T-06-T",12.742525,36.134465
"56321","DG-1-T-06-M-D1","DG-1","T",6,"M","12° 44.5515' N  36° 8.0679' E","DG-1-T-06-M",12.742525,36.134465
"56577","DG-1-T-06-L-D1","DG-1","T",6,"L","12° 44.5515' N  36° 8.0679' E","DG-1-T-06-L",12.742525,36.134465
"56833","DG-1-T-09-T-D1","DG-1","T",9,"T","12° 44.5608' N  36° 8.0441' E","DG-1-T-09-T",12.74268,36.1340683333333
"57089","DG-1-T-09-M-D1","DG-1","T",9,"M","12° 44.5608' N  36° 8.0441' E","DG-1-T-09-M",12.74268,36.1340683333333
"57345","DG-1-T-09-L-D1","DG-1","T",9,"L","12° 44.5608' N  36° 8.0441' E","DG-1-T-09-L",12.74268,36.1340683333333
"57601","DG-1-T-12-T-D1","DG-1","T",12,"T","12° 44.5715' N  36° 8.0450' E","DG-1-T-12-T",12.7428583333333,36.1340833333333
"57857","DG-1-T-12-M-D1","DG-1","T",12,"M","12° 44.5715' N  36° 8.0450' E","DG-1-T-12-M",12.7428583333333,36.1340833333333
"58113","DG-1-T-12-L-D1","DG-1","T",12,"L","12° 44.5715' N  36° 8.0450' E","DG-1-T-12-L",12.7428583333333,36.1340833333333
"58369","DG-1-T-15-T-D1","DG-1","T",15,"T","12° 44.5776' N  36° 8.0322' E","DG-1-T-15-T",12.74296,36.13387
"58625","DG-1-T-15-M-D1","DG-1","T",15,"M","12° 44.5776' N  36° 8.0322' E","DG-1-T-15-M",12.74296,36.13387
"58881","DG-1-T-15-L-D1","DG-1","T",15,"L","12° 44.5776' N  36° 8.0322' E","DG-1-T-15-L",12.74296,36.13387
"59137","DG-1-T-18-T-D1","DG-1","T",18,"T","12° 44.5525' N  36° 8.0077' E","DG-1-T-18-T",12.7425416666667,36.1334616666667
"59393","DG-1-T-18-M-D1","DG-1","T",18,"M","12° 44.5525' N  36° 8.0077' E","DG-1-T-18-M",12.7425416666667,36.1334616666667
"59649","DG-1-T-18-L-D1","DG-1","T",18,"L","12° 44.5525' N  36° 8.0077' E","DG-1-T-18-L",12.7425416666667,36.1334616666667
"59905","DG-1-T-21-T-D1","DG-1","T",21,"T","12° 44.5662' N  36° 7.9767' E","DG-1-T-21-T",12.74277,36.132945
"60161","DG-1-T-21-M-D1","DG-1","T",21,"M","12° 44.5658' N  36° 7.9760' E","DG-1-T-21-M",12.7427633333333,36.1329333333333
"60417","DG-1-T-21-L-D1","DG-1","T",21,"L","12° 44.5658' N  36° 7.9760' E","DG-1-T-21-L",12.7427633333333,36.1329333333333
"60673","DG-1-T-24-T-D1","DG-1","T",24,"T","12° 44.5631' N  36° 7.9754' E","DG-1-T-24-T",12.7427183333333,36.1329233333333
"60929","DG-1-T-24-M-D1","DG-1","T",24,"M","12° 44.5631' N  36° 7.9754' E","DG-1-T-24-M",12.7427183333333,36.1329233333333
"61185","DG-1-T-24-L-D1","DG-1","T",24,"L","12° 44.5631' N  36° 7.9754' E","DG-1-T-24-L",12.7427183333333,36.1329233333333
"61441","DG-1-T-27-T-D1","DG-1","T",27,"T","12° 44.5526' N  36° 7.9757' E","DG-1-T-27-T",12.7425433333333,36.1329283333333
"61697","DG-1-T-27-M-D1","DG-1","T",27,"M","12° 44.5499' N  36° 7.9758' E","DG-1-T-27-M",12.7424983333333,36.13293
"61953","DG-1-T-27-L-D1","DG-1","T",27,"L","12° 44.5499' N  36° 7.9758' E","DG-1-T-27-L",12.7424983333333,36.13293
"62209","DG-1-T-30-T-D1","DG-1","T",30,"T","12° 44.5499' N  36° 7.9758' E","DG-1-T-30-T",12.7424983333333,36.13293
"62465","DG-1-T-30-M-D1","DG-1","T",30,"M","12° 44.5499' N  36° 7.9758' E","DG-1-T-30-M",12.7424983333333,36.13293
"62721","DG-1-T-30-L-D1","DG-1","T",30,"L","12° 44.5459' N  36° 7.9823' E","DG-1-T-30-L",12.7424316666667,36.1330383333333
"62977","DG-1-I-03-T-D1","DG-1","I",3,"T","12° 44.5198' N  36° 8.1764' E","DG-1-I-03-T",12.7419966666667,36.1362733333333
"63233","DG-1-I-03-M-D1","DG-1","I",3,"M","12° 44.5198' N  36° 8.1764' E","DG-1-I-03-M",12.7419966666667,36.1362733333333
"63489","DG-1-I-03-L-D1","DG-1","I",3,"L","12° 44.5198' N  36° 8.1764' E","DG-1-I-03-L",12.7419966666667,36.1362733333333
